gene_id,SRR1778917,SRR1778919,SRR1778921,SRR1778922,SRR1778923,SRR1778925,SRR1778927,SRR1778929,SRR1778930,SRR1778931,SRR1778932
gene-RGQ29_000257,94,24,19,705,42,1488,111,7,17,424,0
gene-RGQ29_000258,303,1631,7,883,55,983,354,28,4,557,105
gene-RGQ29_000259,79,67,106,324,61,469,185,107,56,291,101
gene-RGQ29_000260,130,168,281,598,83,422,255,227,139,571,375
gene-RGQ29_000261,217,596,39,449,95,180,332,33,21,787,351
gene-RGQ29_000264,34,5,5,18,6,2,6,2,6,11,13
gene-RGQ29_000266,11,2,15,17,9,9,6,15,5,19,8
gene-RGQ29_000267,755,433,2140,3000,670,501,1954,1378,1056,2328,1043
gene-RGQ29_000268,229,880,1674,1338,325,505,855,1161,816,932,816
gene-RGQ29_000269,1074,4110,1551,1517,379,1342,1331,927,502,1359,489
gene-RGQ29_000270,53,0,0,14,0,0,5,0,0,27,131
gene-RGQ29_000272,178,204,611,904,180,479,658,405,294,836,370
gene-RGQ29_000274,0,0,2,1,0,0,0,1,2,0,0
gene-RGQ29_000273,125,18,83,198,46,209,119,179,42,223,110
gene-RGQ29_000275,3,0,0,0,2,0,0,0,0,0,0
gene-RGQ29_000276,4,0,0,8,2,0,0,0,0,2,0
gene-RGQ29_000278,5,0,0,0,0,136,0,3,0,0,0
gene-RGQ29_000279,54,3,19,11,25,49,87,16,5,12,18
gene-RGQ29_000281,52,7,93,86,67,11369,143,62,21,71,363
gene-RGQ29_000282,1062,844,947,2258,337,227,1280,625,428,2109,1054
gene-RGQ29_000283,40,0,59,1429,63,364,218,36,39,1062,27
gene-RGQ29_000284,300,1520,1484,1592,424,393,1311,973,755,1530,800
gene-RGQ29_000285,141,41,161,289,71,301,148,113,63,284,131
gene-RGQ29_000286,109,0,18,185,47,77,435,22,14,191,42
gene-RGQ29_000287,790,1273,2838,3595,746,1686,2444,1642,1225,3204,2330
gene-RGQ29_000288,35,14,89,433,82,12,213,64,41,204,182
gene-RGQ29_000289,72,87,450,488,138,356,351,256,192,391,357
gene-RGQ29_000290,116,0,0,46,65,4,57,0,3,76,0
gene-RGQ29_000292,0,0,6,0,5,0,0,0,0,0,0
gene-RGQ29_000291,382,319,885,1352,312,871,792,579,388,1200,677
gene-RGQ29_000293,34,10,66,440,186,5,438,53,38,212,63
gene-RGQ29_000294,633,556,1191,2378,526,1287,1543,747,573,2129,1329
gene-RGQ29_000295,209,726,1052,1049,234,504,1064,725,471,864,506
gene-RGQ29_000301,59,0,18,82,17,8,64,8,3,115,70
gene-RGQ29_000299,0,0,54,4,0,0,15,14,18,11,5
gene-RGQ29_000296,164,143,387,566,75,421,388,275,203,628,253
gene-RGQ29_000300,165,0,32,271,50,23,216,26,6,322,166
gene-RGQ29_000302,347,35,94,1210,250,1149,480,86,68,836,236
gene-RGQ29_000303,85,139,179,300,57,269,132,110,75,181,199
gene-RGQ29_000304,54,8,22,48,39,11,69,9,18,23,35
gene-RGQ29_000307,6,11,21,9,0,72,31,5,0,34,13
gene-RGQ29_000308,31,145,198,201,31,49,175,105,105,161,234
gene-RGQ29_000309,6,11,4,9,2,8,6,2,0,3,13
gene-RGQ29_000310,0,52,28,4,17,0,14,13,7,7,5
gene-RGQ29_000311,72,0,32,151,28,14,54,17,19,162,22
gene-RGQ29_000312,3,22,3,1,0,3,0,1,0,30,0
gene-RGQ29_000313,23,94,103,261,45,28,115,93,44,227,13
gene-RGQ29_000314,12,10,27,55,12,11,33,17,17,77,11
gene-RGQ29_000315,8,61,3,1,0,12,0,3,0,48,0
gene-RGQ29_000316,30,119,163,380,70,44,170,126,70,354,26
gene-RGQ29_000318,0,93,0,24,0,0,0,0,0,9,30
gene-RGQ29_000320,9,12,12,11,14,120,14,19,9,9,5
gene-RGQ29_000322,55,84,224,227,47,319,180,211,181,248,136
gene-RGQ29_000324,501,943,2411,2676,690,874,1836,1997,1226,2187,1286
gene-RGQ29_000326,32,0,22,96,19,7,38,9,9,108,22
gene-RGQ29_000327,1,0,4,0,0,0,0,0,0,3,5
gene-RGQ29_000328,3789,767,1942,4572,1144,4362,2543,2780,1121,4343,3607
gene-RGQ29_000329,164,69,116,208,38,263,92,90,51,152,191
gene-RGQ29_000330,736,238,1479,5830,540,993,1380,1170,790,3209,1270
gene-RGQ29_000331,428,2216,3258,2617,412,1335,1446,2119,1374,2615,2157
gene-RGQ29_000332,110,84,740,2530,295,73,836,626,450,1848,1105
gene-RGQ29_000333,209,166,669,1126,227,460,611,451,361,780,547
gene-RGQ29_000335,831,873,2633,3621,1155,1971,3568,1957,1140,3311,2870
gene-RGQ29_000336,394,300,684,1125,184,619,507,582,320,960,806
gene-RGQ29_000334,145,7,108,1080,206,76,500,54,63,493,170
gene-RGQ29_000337,59,12,69,109,29,41,53,41,39,62,59
gene-RGQ29_000338,161,0,131,1869,302,371,518,66,97,1117,7
gene-RGQ29_000339,29,21,456,359,102,52,337,193,233,393,101
gene-RGQ29_000341,107,767,1261,893,213,234,649,713,509,819,446
gene-RGQ29_000346,201,135,463,500,139,276,585,298,217,551,459
gene-RGQ29_000347,190,74,322,337,93,201,290,156,144,312,151
gene-RGQ29_000348,22,116,250,443,116,23,329,112,72,234,400
gene-RGQ29_000349,1,1,0,5,0,2,0,0,0,7,0
gene-RGQ29_000350,273,97,404,478,140,237,399,221,195,408,192
gene-RGQ29_000351,24,120,265,467,122,25,343,120,76,246,418
gene-RGQ29_000352,288,341,801,969,253,566,659,507,312,866,339
gene-RGQ29_000353,266,0,13,428,102,97,118,13,14,85,0
gene-RGQ29_000354,0,0,212,0,12,0,39,122,118,8,0
gene-RGQ29_000355,80,160,448,569,151,323,375,192,146,448,305
gene-RGQ29_000356,11,2,0,2,0,0,0,0,0,2,4
gene-RGQ29_000357,427,2713,814,1139,302,1447,1014,520,430,1265,1448
gene-RGQ29_000358,21,7,84,552,49,242,108,35,60,105,12
gene-RGQ29_000359,37,7,39,203,23,195,44,34,35,82,36
gene-RGQ29_000360,2664,616,1800,4904,1530,5598,3069,2053,970,4246,1705
gene-RGQ29_000362,584,681,3305,3698,1139,1744,3005,2248,1610,3519,2427
gene-RGQ29_000364,236,42,1539,116,55,190,140,141,113,121,91
gene-RGQ29_000365,143,195,437,647,122,241,288,242,193,546,118
gene-RGQ29_000363,15,259,218,32,28,42,89,86,34,63,19
gene-RGQ29_000366,1179,0,77,4480,1667,1295,17615,121,90,20232,206
gene-RGQ29_000367,171,0,42,159,93,106,195,24,19,121,367
gene-RGQ29_000368,33,28,96,424,23,163,94,56,39,339,127
gene-RGQ29_000369,24,16,213,75,23,37,196,98,72,53,45
gene-RGQ29_000370,167,174,389,481,74,292,246,261,151,523,267
gene-RGQ29_000371,6,0,13,17,7,396,47,48,32,27,0
gene-RGQ29_000373,258,157,184,524,77,480,271,197,78,481,383
gene-RGQ29_000374,727,941,3373,2794,749,2005,2958,2335,1520,3681,1313
gene-RGQ29_000375,32,40,131,137,68,20,169,116,81,144,84
gene-RGQ29_000376,722,13,54,296,194,2145,440,394,24,130,718
gene-RGQ29_000377,95,4,15,57,19,0,24,12,9,38,18
gene-RGQ29_000378,271,684,5246,1139,815,192,2255,2341,1954,988,3053
gene-RGQ29_000379,323,425,1891,316,818,148,2651,941,722,216,1522
gene-RGQ29_000380,351,303,633,775,180,765,395,442,308,727,279
gene-RGQ29_000381,11,0,2,28,82,0,58,0,0,16,0
gene-RGQ29_000382,19,14,102,28,155,0,385,26,42,13,16
gene-RGQ29_000383,8,21,238,148,22,40,89,129,107,176,1528
gene-RGQ29_000384,689,2896,436,480,208,2287,702,600,142,462,494
gene-RGQ29_000385,97,25,86,204,93,1150,170,47,29,167,79
gene-RGQ29_000386,167,332,866,822,219,139,544,551,369,838,583
gene-RGQ29_000004,20259,11723,29265,20811,30817,8327,7897,2715,5224,2993,8633
gene-RGQ29_000005,1317,1355,1357,2750,3187,464,643,305,378,342,420
gene-RGQ29_000006,734,584,1632,950,1425,345,352,185,263,145,435
gene-RGQ29_000007,636,322,1438,900,1079,264,328,165,287,134,368
gene-RGQ29_000008,2656,2477,7211,4131,6937,1166,1431,609,981,533,1602
gene-RGQ29_000009,10721,4951,16114,11506,20389,4643,4205,1422,2828,1694,4529
gene-RGQ29_000010,4886,3333,8517,7640,10549,1871,2250,1143,1530,972,2029
gene-RGQ29_000011,2725,2072,6371,4184,5427,1236,1298,643,915,535,1331
gene-RGQ29_000012,1469,730,3397,2211,2594,640,758,395,661,311,833
gene-RGQ29_000013,4088,4012,10862,6370,10510,1795,2195,998,1560,823,2453
gene-RGQ29_000014,2317,2103,5851,3796,5552,1005,1211,539,875,447,1364
gene-RGQ29_000015,10870,5043,16248,11658,20667,4682,4229,1426,2842,1687,4628
gene-RGQ29_000016,1210,1261,1272,2530,2913,426,587,280,343,303,397
gene-RGQ29_000017,2807,2148,6559,4337,5613,1253,1335,662,967,570,1358
gene-RGQ29_000018,1543,792,3544,2347,2798,669,791,402,702,314,888
gene-RGQ29_000019,4264,4147,11313,6614,10951,1874,2296,1032,1640,871,2587
gene-RGQ29_000020,2539,2297,6315,4454,6571,1117,1304,579,954,493,1449
gene-RGQ29_000021,10702,5056,16036,11153,20197,4615,4141,1412,2821,1662,4515
gene-RGQ29_000022,1218,1251,1272,2530,2908,425,592,281,354,313,399
gene-RGQ29_000023,21195,14681,47882,32800,50539,8994,10218,4891,7839,4234,11225
gene-RGQ29_000024,1249,936,2797,1673,2560,595,604,320,453,257,732
gene-RGQ29_000025,2256,2075,5775,3670,5354,991,1173,527,856,433,1299
gene-RGQ29_000026,3515,2212,8744,6708,13522,1541,1733,905,1462,745,2098
gene-RGQ29_000027,8948,4207,13413,9410,16860,3889,3564,1190,2338,1416,3850
gene-RGQ29_000028,1168,1227,1214,2522,2826,419,592,280,341,305,391
gene-RGQ29_000029,1375,703,3185,2137,2551,604,691,369,612,284,781
gene-RGQ29_000030,3437,3327,9037,5410,8651,1521,1843,869,1352,709,2084
gene-RGQ29_000031,1777,1617,4474,2887,4695,787,927,416,655,331,1030
gene-RGQ29_000032,8872,4217,13277,9343,16577,3796,3492,1199,2324,1408,3809
gene-RGQ29_000033,1205,1242,1234,2486,2821,413,587,286,337,309,388
gene-RGQ29_000034,1996,1476,4644,3068,3835,897,967,474,688,402,1000
gene-RGQ29_000035,1408,732,3252,2207,2633,628,698,374,627,275,778
gene-RGQ29_000036,3464,3293,9079,5460,8605,1540,1858,865,1352,710,2083
gene-RGQ29_000037,1791,1645,4498,3051,4235,784,936,418,663,349,1027
gene-RGQ29_000038,3650,2289,8462,5776,8265,1600,1827,942,1537,776,2214
gene-RGQ29_000039,8740,4165,13087,9523,16352,3785,3471,1162,2240,1380,3792
gene-RGQ29_000040,3287,1956,4959,3415,5291,1455,1221,399,794,510,1345
gene-RGQ29_000041,1180,1230,1221,2480,2817,423,586,284,339,303,379
